bas_raw,point_type,haystack
"CMU/SCSC Gates/Eighth Floor/VAV Room 8014 Open Project/Run Request","Run Request","cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8014 Open Project/Schedule","Schedule","cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8014 Open Project/ZCO2_HI","ZCO2_HI","zone co2 max"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8014 Open Project/Zone CO2","Zone CO2","vav zone air co2 sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8014 Open Project/Zone Temp _ Zone Temp","Zone Temp _ Zone Temp","zone air temp sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8014 Open Project/ZTMP HI","ZTMP HI","zone air temp max"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8014 Open Project/ZTMP LO","ZTMP LO","zone air temp min"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8015 Office/Airflow","Airflow","vav air flow sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8015 Office/Airflow Request","Airflow Request","air flow cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8015 Office/Airflow Setpoint","Airflow Setpoint","vav air flow sp"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8015 Office/Cool Request","Cool Request","vav cool cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8015 Office/Damper Position","Damper Position","vav damper sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8015 Office/Discharge Temp","Discharge Temp","vav discharge air temp sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8015 Office/Flow Control _ Flow Input","Flow Control _ Flow Input","air flow sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8015 Office/Heat Request","Heat Request","vav heat cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8015 Office/HWV Command","HWV Command","vav hot water valve cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8015 Office/OCC Sensor","OCC Sensor","occ sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8015 Office/Run","Run","cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8015 Office/Run Request","Run Request","cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8015 Office/Schedule","Schedule","cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8015 Office/Zone Temp _ Zone Temp","Zone Temp _ Zone Temp","zone air temp sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8015 Office/ZTMP HI","ZTMP HI","zone air temp max"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8015 Office/ZTMP LO","ZTMP LO","zone air temp min"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8017 Office/Airflow","Airflow","vav air flow sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8017 Office/Airflow Request","Airflow Request","air flow cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8017 Office/Airflow Setpoint","Airflow Setpoint","vav air flow sp"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8017 Office/Cool Request","Cool Request","vav cool cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8017 Office/Damper Position","Damper Position","vav damper sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8017 Office/Discharge Temp","Discharge Temp","vav discharge air temp sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8017 Office/Flow Control _ Flow Input","Flow Control _ Flow Input","air flow sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8017 Office/Heat Request","Heat Request","vav heat cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8017 Office/HWV Command","HWV Command","vav hot water valve cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8017 Office/OCC Sensor","OCC Sensor","occ sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8017 Office/Run","Run","cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8017 Office/Run Request","Run Request","cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8017 Office/Schedule","Schedule","cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8017 Office/Zone Temp _ Zone Temp","Zone Temp _ Zone Temp","zone air temp sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8017 Office/ZTMP HI","ZTMP HI","zone air temp max"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8017 Office/ZTMP LO","ZTMP LO","zone air temp min"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8018 Project/Airflow","Airflow","vav air flow sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8018 Project/Airflow Request","Airflow Request","air flow cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8018 Project/Airflow Setpoint","Airflow Setpoint","vav air flow sp"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8018 Project/Cool Request","Cool Request","vav cool cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8018 Project/Damper Position","Damper Position","vav damper sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8018 Project/Discharge Temp","Discharge Temp","vav discharge air temp sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8018 Project/Flow Control _ Flow Input","Flow Control _ Flow Input","air flow sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8018 Project/Heat Request","Heat Request","vav heat cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8018 Project/HWV Command","HWV Command","vav hot water valve cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8018 Project/Max CO2 Level","Max CO2 Level","max co2"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8018 Project/Run","Run","cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8018 Project/Run Request","Run Request","cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8018 Project/Schedule","Schedule","cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8018 Project/ZCO2_HI","ZCO2_HI","zone co2 max"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8018 Project/Zone CO2","Zone CO2","vav zone air co2 sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8018 Project/Zone Temp _ Zone Temp","Zone Temp _ Zone Temp","zone air temp sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8018 Project/ZTMP HI","ZTMP HI","zone air temp max"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8018 Project/ZTMP LO","ZTMP LO","zone air temp min"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8019 Office/Airflow","Airflow","vav air flow sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8019 Office/Airflow Request","Airflow Request","air flow cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8019 Office/Airflow Setpoint","Airflow Setpoint","vav air flow sp"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8019 Office/Cool Request","Cool Request","vav cool cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8019 Office/Damper Position","Damper Position","vav damper sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8019 Office/Discharge Temp","Discharge Temp","vav discharge air temp sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8019 Office/Flow Control _ Flow Input","Flow Control _ Flow Input","air flow sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8019 Office/Heat Request","Heat Request","vav heat cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8019 Office/HWV Command","HWV Command","vav hot water valve cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8019 Office/OCC Sensor","OCC Sensor","occ sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8019 Office/Run","Run","cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8019 Office/Run Request","Run Request","cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8019 Office/Schedule","Schedule","cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8019 Office/Zone Temp _ Zone Temp","Zone Temp _ Zone Temp","zone air temp sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8019 Office/ZTMP HI","ZTMP HI","zone air temp max"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8019 Office/ZTMP LO","ZTMP LO","zone air temp min"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8021 Office/Airflow","Airflow","vav air flow sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8021 Office/Airflow Request","Airflow Request","air flow cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8021 Office/Airflow Setpoint","Airflow Setpoint","vav air flow sp"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8021 Office/Cool Request","Cool Request","vav cool cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8021 Office/Damper Position","Damper Position","vav damper sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8021 Office/Discharge Temp","Discharge Temp","vav discharge air temp sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8021 Office/Flow Control _ Flow Input","Flow Control _ Flow Input","air flow sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8021 Office/Heat Request","Heat Request","vav heat cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8021 Office/HWV Command","HWV Command","vav hot water valve cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8021 Office/OCC Sensor","OCC Sensor","occ sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8021 Office/Run","Run","cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8021 Office/Run Request","Run Request","cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8021 Office/Schedule","Schedule","cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8021 Office/Zone Temp _ Zone Temp","Zone Temp _ Zone Temp","zone air temp sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8021 Office/ZTMP HI","ZTMP HI","zone air temp max"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8021 Office/ZTMP LO","ZTMP LO","zone air temp min"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8023 Office/Airflow","Airflow","vav air flow sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8023 Office/Airflow Request","Airflow Request","air flow cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8023 Office/Airflow Setpoint","Airflow Setpoint","vav air flow sp"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8023 Office/Cool Request","Cool Request","vav cool cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8023 Office/Damper Position","Damper Position","vav damper sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8023 Office/Discharge Temp","Discharge Temp","vav discharge air temp sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8023 Office/Flow Control _ Flow Input","Flow Control _ Flow Input","air flow sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8023 Office/Heat Request","Heat Request","vav heat cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8023 Office/HWV Command","HWV Command","vav hot water valve cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8023 Office/OCC Sensor","OCC Sensor","occ sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8023 Office/Run","Run","cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8023 Office/Run Request","Run Request","cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8023 Office/Schedule","Schedule","cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8023 Office/Zone Temp _ Zone Temp","Zone Temp _ Zone Temp","zone air temp sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8023 Office/ZTMP HI","ZTMP HI","zone air temp max"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8023 Office/ZTMP LO","ZTMP LO","zone air temp min"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8025 Open Project/Airflow","Airflow","vav air flow sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8025 Open Project/Airflow Request","Airflow Request","air flow cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8025 Open Project/Airflow Setpoint","Airflow Setpoint","vav air flow sp"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8025 Open Project/Cool Request","Cool Request","vav cool cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8025 Open Project/Damper Position","Damper Position","vav damper sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8025 Open Project/Discharge Temp","Discharge Temp","vav discharge air temp sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8025 Open Project/Flow Control _ Flow Input","Flow Control _ Flow Input","air flow sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8025 Open Project/Heat Request","Heat Request","vav heat cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8025 Open Project/HWV Command","HWV Command","vav hot water valve cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8025 Open Project/Max CO2 Level","Max CO2 Level","max co2"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8025 Open Project/PRV Command","PRV Command","vav perimeterHeat valve cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8025 Open Project/RH Valve %","RH Valve %","vav reheat valve cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8025 Open Project/Run","Run","cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8025 Open Project/Run Request","Run Request","cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8025 Open Project/Schedule","Schedule","cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8025 Open Project/ZCO2_HI","ZCO2_HI","zone co2 max"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8025 Open Project/Zone CO2","Zone CO2","vav zone air co2 sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8025 Open Project/Zone Temp _ Zone Temp","Zone Temp _ Zone Temp","zone air temp sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8025 Open Project/ZTMP HI","ZTMP HI","zone air temp max"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8025 Open Project/ZTMP LO","ZTMP LO","zone air temp min"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8101 Office/Airflow","Airflow","vav air flow sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8101 Office/Airflow Request","Airflow Request","air flow cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8101 Office/Airflow Setpoint","Airflow Setpoint","vav air flow sp"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8101 Office/Cool Request","Cool Request","vav cool cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8101 Office/Damper Position","Damper Position","vav damper sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8101 Office/Discharge Temp","Discharge Temp","vav discharge air temp sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8101 Office/Flow Control _ Flow Input","Flow Control _ Flow Input","air flow sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8101 Office/Heat Request","Heat Request","vav heat cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8101 Office/HWV Command","HWV Command","vav hot water valve cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8101 Office/OCC Sensor","OCC Sensor","occ sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8101 Office/Run","Run","cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8101 Office/Run Request","Run Request","cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8101 Office/Schedule","Schedule","cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8101 Office/Zone Temp _ Zone Temp","Zone Temp _ Zone Temp","zone air temp sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8101 Office/ZTMP HI","ZTMP HI","zone air temp max"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8101 Office/ZTMP LO","ZTMP LO","zone air temp min"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8102 Conference/Airflow","Airflow","vav air flow sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8102 Conference/Airflow Request","Airflow Request","air flow cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8102 Conference/Airflow Setpoint","Airflow Setpoint","vav air flow sp"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8102 Conference/Cool Request","Cool Request","vav cool cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8102 Conference/Damper Position","Damper Position","vav damper sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8102 Conference/Discharge Temp","Discharge Temp","vav discharge air temp sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8102 Conference/Flow Control _ Flow Input","Flow Control _ Flow Input","air flow sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8102 Conference/Heat Request","Heat Request","vav heat cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8102 Conference/HWV Command","HWV Command","vav hot water valve cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8102 Conference/Max CO2 Level","Max CO2 Level","max co2"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8102 Conference/PRV Command","PRV Command","vav perimeterHeat valve cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8102 Conference/RH Valve %","RH Valve %","vav reheat valve cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8102 Conference/Run","Run","cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8102 Conference/Run Request","Run Request","cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8102 Conference/Schedule","Schedule","cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8102 Conference/ZCO2_HI","ZCO2_HI","zone co2 max"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8102 Conference/Zone CO2","Zone CO2","vav zone air co2 sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8102 Conference/Zone Temp _ Zone Temp","Zone Temp _ Zone Temp","zone air temp sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8102 Conference/ZTMP HI","ZTMP HI","zone air temp max"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8102 Conference/ZTMP LO","ZTMP LO","zone air temp min"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8103 Office/Airflow","Airflow","vav air flow sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8103 Office/Airflow Request","Airflow Request","air flow cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8103 Office/Airflow Setpoint","Airflow Setpoint","vav air flow sp"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8103 Office/Cool Request","Cool Request","vav cool cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8103 Office/Damper Position","Damper Position","vav damper sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8103 Office/Discharge Temp","Discharge Temp","vav discharge air temp sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8103 Office/Flow Control _ Flow Input","Flow Control _ Flow Input","air flow sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8103 Office/Heat Request","Heat Request","vav heat cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8103 Office/HWV Command","HWV Command","vav hot water valve cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8103 Office/OCC Sensor","OCC Sensor","occ sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8103 Office/Run","Run","cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8103 Office/Run Request","Run Request","cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8103 Office/Schedule","Schedule","cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8103 Office/Zone Temp _ Zone Temp","Zone Temp _ Zone Temp","zone air temp sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8103 Office/ZTMP HI","ZTMP HI","zone air temp max"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8103 Office/ZTMP LO","ZTMP LO","zone air temp min"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8105 Office/Airflow","Airflow","vav air flow sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8105 Office/Airflow Request","Airflow Request","air flow cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8105 Office/Airflow Setpoint","Airflow Setpoint","vav air flow sp"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8105 Office/Cool Request","Cool Request","vav cool cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8105 Office/Damper Position","Damper Position","vav damper sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8105 Office/Discharge Temp","Discharge Temp","vav discharge air temp sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8105 Office/Flow Control _ Flow Input","Flow Control _ Flow Input","air flow sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8105 Office/Heat Request","Heat Request","vav heat cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8105 Office/HWV Command","HWV Command","vav hot water valve cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8105 Office/OCC Sensor","OCC Sensor","occ sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8105 Office/Run","Run","cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8105 Office/Run Request","Run Request","cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8105 Office/Schedule","Schedule","cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8105 Office/Zone Temp _ Zone Temp","Zone Temp _ Zone Temp","zone air temp sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8105 Office/ZTMP HI","ZTMP HI","zone air temp max"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8105 Office/ZTMP LO","ZTMP LO","zone air temp min"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8106 Office/Airflow","Airflow","vav air flow sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8106 Office/Airflow Request","Airflow Request","air flow cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8106 Office/Airflow Setpoint","Airflow Setpoint","vav air flow sp"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8106 Office/Cool Request","Cool Request","vav cool cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8106 Office/Damper Position","Damper Position","vav damper sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8106 Office/Discharge Temp","Discharge Temp","vav discharge air temp sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8106 Office/Flow Control _ Flow Input","Flow Control _ Flow Input","air flow sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8106 Office/Heat Request","Heat Request","vav heat cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8106 Office/HWV Command","HWV Command","vav hot water valve cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8106 Office/OCC Sensor","OCC Sensor","occ sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8106 Office/Run","Run","cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8106 Office/Run Request","Run Request","cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8106 Office/Schedule","Schedule","cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8106 Office/Zone Temp _ Zone Temp","Zone Temp _ Zone Temp","zone air temp sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8106 Office/ZTMP HI","ZTMP HI","zone air temp max"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8106 Office/ZTMP LO","ZTMP LO","zone air temp min"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8107 Office/Airflow","Airflow","vav air flow sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8107 Office/Airflow Request","Airflow Request","air flow cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8107 Office/Airflow Setpoint","Airflow Setpoint","vav air flow sp"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8107 Office/Cool Request","Cool Request","vav cool cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8107 Office/Damper Position","Damper Position","vav damper sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8107 Office/Discharge Temp","Discharge Temp","vav discharge air temp sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8107 Office/Flow Control _ Flow Input","Flow Control _ Flow Input","air flow sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8107 Office/Heat Request","Heat Request","vav heat cmd"
